generation, size population, fitness min, fitness max, fitness average, fitness std
0,10,234.191,309.005,281.092,21.1736
1,10,196.708,311.312,262.458,37.0941
2,10,258.841,314.05,280.792,15.7305
3,10,260.6,302.468,279.021,13.1709
4,10,135.383,308.06,250.595,43.0711
5,10,232.939,342.913,284.463,33.0346
6,10,237.369,299.309,275.528,16.9574
7,10,230.308,322.23,274.935,27.1623
8,10,225.25,288.585,269.502,19.2756
9,10,213.049,299.046,259.779,24.0497
